genre,hex_colour,x,y,r,g,b
african-american classical,#488f85,915,2563,72,143,133
magyar alternative,#b7741e,591,13374,183,116,30
japanese indie folk,#6c9835,643,6189,108,152,53
wrock,#8f8112,660,9998,143,129,18
irish banjo,#769b5e,868,5079,118,155,94
la pop,#958f14,772,13286,149,143,20
musica maringaense,#b6791e,459,13286,182,121,30
crack rock steady,#dd5525,427,11791,221,85,37
j-core,#da6d62,571,17542,218,109,98
indie rock,#a18039,452,10023,161,128,57
deep new wave,#b07429,670,16013,176,116,41
brooklyn indie,#a4803e,452,11852,164,128,62
electro swing,#b38252,1118,17100,179,130,82
virginia hip hop,#a57c0e,1074,12500,165,124,14
bedroom soul,#74980f,939,10548,116,152,15
native american hip hop,#a7820d,1020,13149,167,130,13
lo-fi jazzhop,#7a95ad,1067,11764,122,149,173
mexican classical,#23a5a2,576,787,35,165,162
dutch trance,#d17a74,713,17783,209,122,116
musica timor-leste,#68940f,716,5667,104,148,15
min'yo,#5a9e1c,655,4763,90,158,28
dutch pop,#918c0a,734,11216,145,140,10
doomcore,#e0508d,550,17416,224,80,141
japanese soul,#988928,795,12912,152,137,40
portuguese rock,#a18227,561,11976,161,130,39
classic opm,#719710,543,7300,113,151,16
classic j-rock,#b9711b,531,13585,185,113,27
sinhala rap,#a28f0e,986,12551,162,143,14
yugoslav new wave,#b1771e,734,12770,177,119,30
gundam,#93884c,448,12123,147,136,76
sevilla indie,#ae823b,459,14867,174,130,59
garage psych,#ad7760,363,10466,173,119,96
lo-fi emo,#987b4b,391,9201,152,123,75
lo-fi chill,#5fa052,957,9884,95,160,82
gospel r&b,#988407,683,11005,152,132,7
belgian dnb,#d77e7e,1145,18102,215,126,126
speedrun,#8d92b3,756,14547,141,146,179
czech electronic,#ad91a9,1045,17568,173,145,169
electronica chilena,#a88998,1098,17265,168,137,152
mandible,#7185b4,395,8495,113,133,180
indonesian indigenous,#3c9d53,770,3285,60,157,83
ghoststep,#b18ba7,1087,17943,177,139,167
acidcore,#e07bb0,1013,18819,224,123,176
trance,#d17c7a,639,17947,209,124,122
darkstep,#e46e9f,774,17820,228,110,159
string folk,#43ac89,708,4156,67,172,137
jazz harp,#4c9d82,716,3512,76,157,130
milan indie,#a4861c,674,13028,164,134,28
medway sound,#c3632c,457,8384,195,99,44
new orleans indie,#91863d,446,8016,145,134,61
rock tico,#c07418,476,13796,192,116,24
dance pop,#b78312,830,16468,183,131,18
traprun,#bc8c4c,746,16405,188,140,76
cornwall indie,#988425,454,9159,152,132,37
london on indie,#ba6929,385,12551,186,105,41
portland punk,#d0583a,320,10320,208,88,58
canadian psychedelic,#8b843a,576,8200,139,132,58
western mass indie,#998133,484,8605,153,129,51
sufi chant,#5f9723,561,4486,95,151,35
thai indie rock,#a48522,591,14064,164,133,34
turkish edm,#bf8f65,1140,18200,191,143,101
spanish noise pop,#ac803e,415,13041,172,128,62
plugg,#899c05,1001,14976,137,156,5
bboy,#c07b5d,1082,17127,192,123,93
lldm,#779110,589,7251,119,145,16
healing,#7544a1,202,5597,117,68,161
tatar pop,#b68804,719,14673,182,136,4
musica indigena mexicana,#809627,1024,8763,128,150,39
philly soul,#947e0c,765,9875,148,126,12
rap regio,#90981b,1052,14245,144,152,27
focus trance,#b696d5,1232,19249,182,150,213
irish contemporary classical,#32967e,353,3006,50,150,126
vintage schlager,#5c910b,739,2983,92,145,11
musica campista,#9d8416,650,10822,157,132,22
australian classical,#219fa2,363,921,33,159,162
svensk progg,#868820,731,7300,134,136,32
harp,#3ca9a3,770,2841,60,169,163
classical countertenor,#27a016,425,970,39,160,22
danish pop,#a7880a,843,14647,167,136,10
ann arbor indie,#8b8b20,564,9771,139,139,32
deep german punk,#ce6623,365,12907,206,102,35
bolivian rock,#b27d1c,664,14092,178,125,28
deep tropical house,#ba8d41,959,17542,186,141,65
indonesian indie pop,#9d8834,559,12943,157,136,52
latin,#b18a04,974,13753,177,138,4
classic danish pop,#8f890b,760,10380,143,137,11
k-rock,#b27a1b,469,13449,178,122,27
instrumental soul,#858790,990,8064,133,135,144
uk drill,#a0860c,1131,12607,160,134,12
brazilian post-rock,#878bc0,361,8359,135,139,192
japanese alternative rock,#bf711a,405,13944,191,113,26
musica alagoana,#889112,858,9899,136,145,18
guam indie,#858d52,849,9924,133,141,82
rock chapin,#b37d16,526,13362,179,125,22
danish punk,#d65933,343,11914,214,89,51
souldies,#888723,772,8376,136,135,35
noise pop,#b1705d,297,10627,177,112,93
german jazz rap,#9c8029,1093,10182,156,128,41
tahitian,#8d8e29,901,10021,141,142,41
progressive jazz fusion,#a28191,511,9636,162,129,145
disney espanol,#7c8a13,708,7200,124,138,19
indie cantabria,#bb7731,531,13685,187,119,49
baltimore indie,#9a854d,438,9924,154,133,77
dutch rock,#96840e,624,10609,150,132,14
austrian pop,#9a8f24,753,14262,154,143,36
italian folk,#789116,753,7004,120,145,22
myanmar indie,#ac820e,636,12662,172,130,14
musica mallorquina,#988820,650,10761,152,136,32
neo metal,#d7622c,395,15066,215,98,44
slovenian rock,#a27c1d,554,10871,162,124,29
egyptian alternative,#8e8d19,713,10774,142,141,25
psybreaks,#d17a9c,1080,18435,209,122,156
hard bass,#e56573,1104,18299,229,101,115
corrosion,#ba7451,361,16139,186,116,81
japanese underground rap,#b37828,982,11410,179,120,40
irish underground rap,#a08329,964,9933,160,131,41
ilocano pop,#68970e,748,8388,104,151,14
musica cristiana guatemalteca,#969111,905,10083,150,145,17
psytech,#a994d0,1318,19199,169,148,208
khaliji,#a98003,741,10712,169,128,3
tennessee metal,#d45563,202,11522,212,85,99
swedish death metal,#e64576,145,12368,230,69,118
austrian punk,#df5d1b,330,14720,223,93,27
colombian black metal,#d84182,100,9827,216,65,130
nuevo regional mexicano,#9c8d03,1014,8926,156,141,3
copla,#5a960e,788,2361,90,150,14
sound,#b800c4,74,5117,184,0,196
santur,#6598af,550,3094,101,152,175
odia pop,#a98206,760,7928,169,130,6
russian pop punk,#de620e,367,16063,222,98,14
brazilian post-hardcore,#d95c18,324,13867,217,92,24
wassoulou,#9c8a18,978,9750,156,138,24
rakugo,#4d621e,1222,2867,77,98,30
cubaton,#cb8403,1071,15040,203,132,3
folklore veracruzano,#9a8b14,986,5794,154,139,20
metal ecuatoriano,#d45d40,293,12368,212,93,64
atlanta metal,#e44e43,206,14178,228,78,67
metal,#d95139,224,12025,217,81,57
puerto rican metal,#d7553f,219,10345,215,85,63
birmingham metal,#d14c4c,195,10994,209,76,76
vintage radio show,#47700b,1332,5117,71,112,11
nordnorsk ponk,#d45a43,247,11607,212,90,67
kaseko,#b3800e,939,8500,179,128,14
metal uruguayo,#d1612e,260,13636,209,97,46
qawwali,#a8770b,783,7262,168,119,11
neo-trad prog,#928a35,303,11277,146,138,53
zamba,#549824,1063,3259,84,152,36
chicago pop punk,#d76017,286,14818,215,96,23
latin american heavy psych,#b27488,202,9263,178,116,136
musica potosina,#b38708,1084,9430,179,135,8
opera chorus,#48862b,336,364,72,134,43
deconstructed club,#968488,615,11740,150,132,136
bajki,#438f5f,596,4245,67,143,95
slamming deathcore,#e9457c,175,13648,233,69,124
contemporary classical,#1e9a8a,336,1068,30,154,138
japanese classical performance,#23a2ab,450,1056,35,162,171
irish accordion,#7f9b48,760,6213,127,155,72
french pop,#828d08,763,7967,130,141,8
italian alternative,#98841e,586,10020,152,132,30
afro psych,#a37e3d,882,10058,163,126,61
isle of wight indie,#94822c,522,10547,148,130,44
uk alternative pop,#938e1d,670,12783,147,142,29
swedish alternative rock,#c07212,440,14088,192,114,18
san marcos tx indie,#a27d20,538,10218,162,125,32
welsh indie,#9d832c,444,10846,157,131,44
deep freestyle,#b87d34,993,17733,184,125,52
classic danish rock,#94831c,610,9324,148,131,28
spanish indie rock,#c0723d,357,13054,192,114,61
historically informed performance,#29a049,393,1931,41,160,73
okinawan folk,#8b8f13,627,10280,139,143,19
deep funk,#b0773c,961,11652,176,119,60
brazilian reggae,#a08a0b,1031,12787,160,138,11
korean mask singer,#8e9725,584,10230,142,151,37
azeri pop,#a3870b,779,11802,163,135,11
thrash core,#e23658,234,9864,226,54,88
tuareg guitar,#988e39,851,8150,152,142,57
deep hardtechno,#ee38b1,760,18718,238,56,177
pinoy praise,#75960b,459,8483,117,150,11
folclor colombiano,#8c9521,1085,8701,140,149,33
chamber orchestra,#27a59a,322,1377,39,165,154
classic thai pop,#869308,711,12012,134,147,8
yorkshire folk,#509f1f,763,4712,80,159,31
west end,#539117,497,4535,83,145,23
visor,#49990b,864,3309,73,153,11
french orchestra,#319180,322,1547,49,145,128
vintage spanish pop,#5b8f1d,838,2336,91,143,29
celtic harp,#2eb2af,765,1944,46,178,175
shred,#be6a90,326,13115,190,106,144
russian romance,#59930e,594,3701,89,147,14
romanian pop,#b3892f,964,17074,179,137,47
bolero,#65930e,853,4548,101,147,14
sefardi,#599d1a,569,4725,89,157,26
polyphony,#3d9e12,254,2425,61,158,18
pop argentino,#aa8b05,815,14710,170,139,5
gaming dubstep,#dd7943,788,16291,221,121,67
rock paraibano,#b48039,574,12159,180,128,57
idaho indie,#9b8437,417,9348,155,132,55
victoria bc indie,#988528,493,9972,152,133,40
indie pop rock,#9c8726,491,13262,156,135,38
neoclassical darkwave,#6f927c,330,8053,111,146,124
hi-nrg,#bd7723,901,17542,189,119,35
polish noise rock,#af7078,295,9674,175,112,120
portland indie,#94883c,476,8880,148,136,60
charlotte nc indie,#a87d29,440,10819,168,125,41
nz indie,#9a853d,461,10045,154,133,61
northeast indian hip hop,#949510,1026,11875,148,149,16
british post-rock,#818fb5,275,9512,129,143,181
touken ranbu,#86857a,290,11841,134,133,122
taiwan idol pop,#b0850b,670,15356,176,133,11
rap nacional antigo,#9e821a,1131,13111,158,130,26
baroque singing,#10b28f,375,2412,16,178,143
hungarian underground rap,#af7c25,1098,11950,175,124,37
trap queen,#a68d03,1126,15092,166,141,3
afro house,#b08f96,1277,18645,176,143,150
traditional irish singing,#1ca80c,937,1476,28,168,12
afghan traditional,#95805d,465,2981,149,128,93
chanson,#69910a,739,5469,105,145,10
musica aragonesa,#a4800e,708,9900,164,128,14
musica mapuche,#838a0e,855,7723,131,138,14
polish folk,#74961d,602,6325,116,150,29
quartetto d'archi,#39a254,446,4586,57,162,84
medieval ensemble,#31a741,299,2437,49,167,65
hungarian rock,#c56e17,529,14322,197,110,23
bosnian indie,#ad7d1a,797,13509,173,125,26
kansai indie,#b87b1c,506,14163,184,123,28
funk carioca,#b98404,1095,12671,185,132,4
melbourne indie,#918938,482,8187,145,137,56
ambient worship,#5a9e95,261,7642,90,158,149
modern blues,#9b7c23,744,8575,155,124,35
dutch blues,#9a8021,579,8593,154,128,33
western swing,#5a8d1f,1020,4093,90,141,31
t-pop girl group,#c8772d,594,17353,200,119,45
beatlesque,#a07b1a,491,8841,160,123,26
glam rock,#ac7019,522,9900,172,112,25
instrumental stoner rock,#ab7b9d,311,9287,171,123,157
go-go,#c46d20,999,13185,196,109,32
indie emo rock,#b27928,409,10597,178,121,40
via,#82850a,621,8064,130,133,10
jewish hip hop,#b57d18,1020,14585,181,125,24
conscious hip hop,#b0780b,1039,11199,176,120,11
garage house,#c27b72,1236,18832,194,123,114
bay area hip hop,#a88409,1084,14232,168,132,9
nz electronic,#b58892,1003,17644,181,136,146
proto-techno,#a97186,868,15229,169,113,134
ballet class,#3baaca,1016,3701,59,170,202
icelandic electronic,#929190,841,15659,146,145,144
italian contemporary classical,#1a9a77,385,873,26,154,119
rap euskera,#a37507,1069,9239,163,117,7
progressive trance,#d37b80,579,18086,211,123,128
veracruz indie,#948c1e,736,10871,148,140,30
arab folk,#55995e,564,3170,85,153,94
nasheed,#6c930b,751,5432,108,147,11
musica catalana,#9f860e,724,12220,159,134,14
lds youth,#749914,564,8581,116,153,20
classify,#42aac2,674,4333,66,170,194
electric blues,#827e21,895,5831,130,126,33
deathgrass,#b66e1b,554,8691,182,110,27
dutch prog,#968536,515,8642,150,133,54
chamber ensemble,#23a696,347,1104,35,166,150
funk metal,#cc6320,493,13511,204,99,32
spanish indie pop,#a78429,486,12968,167,132,41
jazz guitar,#51968b,1013,3499,81,150,139
indie siciliano,#888f1f,650,9748,136,143,31
brazilian indie rock,#a0843a,427,10342,160,132,58
pop,#ab880d,786,15103,171,136,13
aggrotech,#dc686b,561,18503,220,104,107
pop violin,#759972,286,6684,117,153,114
post-rock latinoamericano,#968caf,286,9796,150,140,175
album rock,#ac711d,471,8855,172,113,29
rap catarinense,#8d9010,995,10604,141,144,16
rap metal,#d95c1a,446,14724,217,92,26
soft rock,#94810f,627,9875,148,129,15
south dakota indie,#9d8030,403,11191,157,128,48
concepcion indie,#b77d1c,417,11436,183,125,28
sad rap,#8a990f,927,13577,138,153,15
portland hip hop,#a08318,993,10616,160,131,24
israeli hip hop,#ae8413,992,14033,174,132,19
nz hip hop,#ac8413,1048,15014,172,132,19
chinese folk,#81950c,457,8544,129,149,12
dungeon synth,#7382c0,148,8669,115,130,192
british contemporary classical,#209f7b,290,1238,32,159,123
mazandarani folk,#5a9a1c,781,3183,90,154,28
bansuri,#53a095,561,2652,83,160,149
deathstep,#db7557,624,16139,219,117,87
estonian jazz,#579c70,697,5231,87,156,112
folk punk,#a37a0d,552,8728,163,122,13
classic swedish pop,#8e880a,689,9794,142,136,10
musica juiz-forana,#978810,726,10597,151,136,16
rap metal espanol,#de5d1d,524,15002,222,93,29
naat,#858c01,729,5334,133,140,1
rhythm game,#d2706d,454,16670,210,112,109
diva house,#c47b42,1076,18374,196,123,66
indie extremena,#bd760d,533,13867,189,118,13
louisville indie,#98822b,442,8992,152,130,43
rebetiko,#749413,870,4712,116,148,19
classic persian pop,#7a9020,643,6140,122,144,32
gospel,#828206,547,6993,130,130,6
modern rock,#b9771d,431,13843,185,119,29
afrobeat brasileiro,#ae826d,915,13003,174,130,109
sinhala indie,#8b9711,777,10535,139,151,17
thai indie pop,#a28816,639,14175,162,136,22
gbvfi,#ac7244,393,9814,172,114,68
pop rock,#a9800e,511,13200,169,128,14
faroese pop,#729518,564,8286,114,149,24
classic garage rock,#a4721e,584,9225,164,114,30
toronto indie,#9a8430,442,10858,154,132,48
brazilian dnb,#d986a3,1126,18719,217,134,163
afrobeat,#a78156,1013,9847,167,129,86
lagu aceh,#989607,760,11228,152,150,7
scottish new wave,#b07528,513,13524,176,117,40
turkish pop,#9b880f,686,11179,155,136,15
st louis rap,#a39102,1091,16204,163,145,2
lagu sunda,#8f9613,779,13472,143,150,19
iowa hip hop,#969109,1054,12721,150,145,9
metal catarinense,#dd4f59,243,13225,221,79,89
brit funk,#b47738,949,15381,180,119,56
canadian old school hip hop,#b3740e,1048,11887,179,116,14
underground rap,#b57518,1018,10579,181,117,24
brazilian classical,#36a099,547,2260,54,160,153
nuevo tango,#539a70,646,2513,83,154,112
asbury park indie,#a37c22,497,10206,163,124,34
korean superband,#84942e,574,9054,132,148,46
japanese edm,#de763e,552,17087,222,118,62
neo-classical,#2aaad8,474,2285,42,170,216
neo-psicodelia brasileira,#998248,429,8151,153,130,72
ethiopian traditional,#479532,868,2715,71,149,50
italian rockabilly,#bf722d,726,10498,191,114,45
pinoy indie,#938b1e,621,11509,147,139,30
scottish gaelic folk,#4ea40a,545,5319,78,164,10
nouvelle chanson francaise,#789214,765,8212,120,146,20
irish pop,#869414,604,10442,134,148,20
musica catarinense,#8b911a,810,10449,139,145,26
sega mauricien,#b58313,1014,14194,181,131,19
speed garage,#c37567,1153,18435,195,117,103
calgary indie,#948430,497,8752,148,132,48
deep disco,#b3732e,1028,15301,179,115,46
german post-punk,#be714b,391,13732,190,113,75
kelowna bc indie,#c46d1c,338,14411,196,109,28
singaporean pop,#81940d,716,10548,129,148,13
brazilian blues,#a6802d,711,10560,166,128,45
country rap,#b58304,957,15647,181,131,4
louvor icm,#6c9d22,405,7794,108,157,34
taiwan pop,#998b08,576,12306,153,139,8
telugu hip hop,#a38c0f,1136,14033,163,140,15
detroit hip hop,#ab810e,1050,12164,171,129,14
punjabi hip hop,#ac8c0f,1065,14144,172,140,15
rap portuense,#a1841f,1039,13522,161,132,31
pinoy alternative rap,#a58712,1115,13996,165,135,18
tipico,#af8704,964,8248,175,135,4
pennsylvania hardcore,#e5473a,245,9439,229,71,58
swedish hard rock,#d95d1d,237,14080,217,93,29
lithuanian metal,#d55160,145,12930,213,81,96
czsk black metal,#da4569,99,11607,218,69,105
tar,#549f91,746,2462,84,159,145
christian thrash metal,#db573f,318,11902,219,87,63
epic doom,#b87035,141,9791,184,112,53
brazilian groove metal,#e24738,314,10367,226,71,56
honeyworks,#d9721e,474,17618,217,114,30
gymcore,#d8690d,269,16569,216,105,13
grunge argentina,#c66e19,301,14484,198,110,25
peruvian death metal,#e43e72,157,10108,228,62,114
folk black metal,#cc5b6e,115,12208,204,91,110
jewish cantorial,#3c9a11,292,212,60,154,17
italian soprano,#329e1e,334,542,50,158,30
partido alto,#a87b02,913,8389,168,123,2
rumba catalana,#c1720c,1018,9302,193,114,12
swedish progressive metal,#be7032,243,12870,190,112,50
malaysian punk,#cc6912,351,14166,204,105,18
italian progressive metal,#c86d39,250,13360,200,109,57
power thrash,#e24f38,250,13501,226,79,56
progressive metal,#b37535,252,12319,179,117,53
melodic deathcore,#e9464d,202,14757,233,70,77
traditional bluegrass,#859438,793,7833,133,148,56
japanese death metal,#e7417e,141,12992,231,65,126
argentine ambient,#4b97b2,373,6031,75,151,178
ambient,#5593c5,305,7215,85,147,197
danish experimental,#7086a7,419,7263,112,134,167
ambient idm,#8d8fb1,624,12967,141,143,177
chinese experimental,#908681,667,11777,144,134,129
electronica,#9f8a7e,855,16013,159,138,126
illbient,#928298,779,13362,146,130,152
danish techno,#af8cc1,1158,18337,175,140,193
murcia indie,#ac8422,486,13399,172,132,34
japanese worship,#719923,489,7534,113,153,35
friese muziek,#8d890d,721,9312,141,137,13
ska chileno,#c0790e,832,14484,192,121,14
french indie folk,#769530,674,8966,118,149,48
kindie rock,#7d8c07,999,8575,125,140,7
kantele,#3ea63b,550,4308,62,166,59
jazz tico,#6a986b,813,6251,106,152,107
japanese classical piano,#239fce,569,933,35,159,206
freakbeat,#a27520,591,8433,162,117,32
musica calabrese,#938d0d,686,9760,147,141,13
knoxville indie,#a87b1f,476,10193,168,123,31
stomp and whittle,#9a881d,513,10932,154,136,29
musica capixaba,#978d0f,828,12476,151,141,15
detroit rock,#c2612b,383,9537,194,97,43
alte,#929110,990,11925,146,145,16
caribbean metal,#dc5242,276,11583,220,82,66
scottish rock,#ab7b1d,429,12196,171,123,29
wellington indie,#908b44,446,9116,144,139,68
h8000,#d45e3d,305,9772,212,94,61
bayerischer rap,#a5821b,1111,12912,165,130,27
croatian pop,#9c8804,596,10969,156,136,4
bulgarian hip hop,#a68b15,1126,15798,166,139,21
slow game,#a18f08,1013,15052,161,143,8
lithuanian hip hop,#ac8417,1074,14560,172,132,23
oakland hip hop,#ac8103,1069,12999,172,129,3
israeli techno,#b694d3,1310,19225,182,148,211
mluvene slovo,#5e7a05,1071,3777,94,122,5
austro-german modernism,#1e9b6b,371,627,30,155,107
moravian folk,#49a30f,465,2020,73,163,15
classical performance,#2a9a7f,359,1019,42,154,127
musica de intervencao,#6a950d,756,5617,106,149,13
naija worship,#a48411,536,10169,164,132,17
eugene indie,#a67927,500,10057,166,121,39
new delhi indie,#948e4c,650,13424,148,142,76
cantautora argentina,#6d9a0d,815,7624,109,154,13
swedish pop,#a6880c,674,13856,166,136,12
arkansas indie,#92881b,522,8965,146,136,27
deep dance pop,#b28313,760,16367,178,131,19
brasilia indie,#968c17,655,11130,150,140,23
outlaw country,#71890a,899,6558,113,137,10
belarusian indie,#b27c1d,591,13907,178,124,29
leicester indie,#ac7c27,427,13423,172,124,39
tijuana indie,#ab7c47,415,10622,171,124,71
progressive alternative,#b9792b,355,13673,185,121,43
indie michoacano,#968b2c,574,12992,150,139,44
turkmen pop,#938b10,753,10318,147,139,16
c86,#a67a37,438,11570,166,122,55
greek psychedelic rock,#aa7c51,336,10430,170,124,81
bangla pop,#849408,760,9360,132,148,8
uk post-punk revival,#c46e4b,395,12992,196,110,75
norwegian pop rap,#a38c07,992,13877,163,140,7
australian thrash metal,#e64a4b,263,11130,230,74,75
rautalanka,#ad8877,484,11228,173,136,119
trap cristao,#a48906,1043,13247,164,137,6
muzica banateana,#909121,858,6620,144,145,33
ghanaian alternative,#a18c18,1073,10462,161,140,24
fijian pop,#948d12,963,13704,148,141,18
ritmo kombina,#a88d05,1082,13546,168,141,5
toronto rap,#9a9204,1050,13260,154,146,4
pinoy hip hop,#9c8b08,1091,14381,156,139,8
romanian trap,#a68f11,1078,13716,166,143,17
early modern classical,#219b9a,347,652,33,155,154
italo beats,#da794d,980,18781,218,121,77
taiwan classical performance,#2b9fa9,511,885,43,159,169
radio symphony,#2b989a,292,1251,43,152,154
future house,#d77c46,882,17644,215,124,70
grand rapids indie,#a57d2c,511,9833,165,125,44
canzone d'autore,#738f07,643,5930,115,143,7
czech folk,#878809,686,7274,135,136,9
musica mato-grossense,#94842d,630,9003,148,132,45
bow pop,#5b9a8e,387,5774,91,154,142
galego,#908a22,538,8335,144,138,34
kolsche karneval,#ad7b07,741,12062,173,123,7
baroque woodwind,#1fa663,444,1668,31,166,99
french baroque,#2b9f6b,334,1995,43,159,107
german blues,#938422,817,8843,147,132,34
bubblegum dance,#d2761a,876,17991,210,118,26
chinese indie,#878e1b,547,10761,135,142,27
ontario indie,#9c8528,486,10084,156,133,40
post-teen pop,#ae8605,753,15305,174,134,5
alabama indie,#a17d30,442,8941,161,125,48
nova musica pernambucana,#958b24,793,10737,149,139,36
vintage cantonese pop,#7e9403,621,7188,126,148,3
classic girl group,#8e7e05,703,7213,142,126,5
malian traditional,#908556,1100,5471,144,133,86
teen pop,#9c8f02,830,14018,156,143,2
chicago soul,#7f8107,744,6225,127,129,7
honky-tonk piano,#7d91ac,966,6351,125,145,172
candy pop,#ba790e,500,15356,186,121,14
classic belgian pop,#9a8508,734,11667,154,133,8
classic malaysian pop,#97890c,552,11118,151,137,12
classic canadian rock,#a37b12,522,10330,163,123,18
pop rock brasileiro,#bd7b08,566,14249,189,123,8
namibian pop,#ad8714,1054,14977,173,135,20
gospel rap,#b37e0c,1026,13061,179,126,12
sundanese traditional,#5ba27b,847,3537,91,162,123
bc underground hip hop,#a48609,1033,12263,164,134,9
groove room,#b88b7a,1255,18808,184,139,122
deep east coast hip hop,#ad7215,1129,14045,173,114,21
uk tech house,#d17fbc,1401,19540,209,127,188
kuduro,#b58c7a,1293,17997,181,140,122
drill and bass,#aa799f,821,15052,170,121,159
commons,#7b947f,607,10724,123,148,127
balearic,#ae8c99,1035,17967,174,140,153
chant basque,#778435,571,6017,119,132,53
arab electronic,#b28faa,1158,18139,178,143,170
shamisen,#8090a4,1144,8345,128,144,164
glitch pop,#91887b,770,13115,145,136,123
musica prehispanica,#688d7a,804,8512,104,141,122
russian experimental electronic,#a386ac,838,14219,163,134,172
neo-kraut,#a183a7,489,13237,161,131,167
chill out,#76a1b8,763,13712,118,161,184
minimal techno,#a592c6,1230,18398,165,146,198
serialism,#1c9a66,361,738,28,154,102
danish classical,#1ba38c,320,554,27,163,140
southampton indie,#978218,484,9091,151,130,24
violao,#549d5d,901,4132,84,157,93
australian comedy,#a0620c,993,5916,160,98,12
galante era,#26a263,397,1426,38,162,99
mpb,#7c8f15,799,7139,124,143,21
romanian folk,#6f9a26,604,4257,111,154,38
orebro indie,#ab7a37,409,11203,171,122,55
german choir,#2e981c,273,994,46,152,28
saskatchewan indie,#8f8b25,502,9147,143,139,37
ohio indie,#a17b2d,393,9312,161,123,45
nova mpb,#7d920e,834,8752,125,146,14
hammered dulcimer,#5ea6a0,692,5655,94,166,160
sertanejo tradicional,#8c8d05,872,8285,140,141,5
german pop rock,#ac840f,524,15229,172,132,15
classic schlager,#9a8506,670,9710,154,133,6
canadian indie,#9a841c,478,9796,154,132,28
norwegian prog,#8f854c,355,10072,143,133,76
alt-idol,#de6b1e,461,17227,222,107,30
punk tuga,#cf641f,413,12809,207,100,31
welsh rock,#b77619,391,13399,183,118,25
lai hla,#909408,591,11228,144,148,8
svensk indie,#a88227,429,11289,168,130,39
punk,#d55524,359,11754,213,85,36
finnish soul,#968612,763,11043,150,134,18
finnish hip hop,#b08208,1009,14690,176,130,8
instrumental surf,#c46d84,431,8803,196,109,132
cumbia villera,#bd8504,976,12325,189,133,4
ukhc,#e04f43,235,11314,224,79,67
modern funk,#b47947,986,14082,180,121,71
deep turkish pop,#af8407,799,14176,175,132,7
oktoberfest,#d26911,767,15937,210,105,17
turkish alt pop,#769a0f,721,10585,118,154,15
junior eurovision,#ad8a0a,763,15999,173,138,10
gruperas inmortales,#a19106,992,9553,161,145,6
tejano,#9c8d08,1037,10182,156,141,8
trance brasileiro,#cd82a2,1162,18362,205,130,162
cumbia sonidera,#a3960d,1091,14307,163,150,13
nova canco,#5d9621,758,4207,93,150,33
french romanticism,#269c7d,299,677,38,156,125
russian trance,#dc797e,517,18111,220,121,126
gospel singers,#6a810f,655,4232,106,129,15
neo-trad doom metal,#a6794c,258,9415,166,121,76
karneval,#bc7205,767,13460,188,114,5
string quartet,#20a779,345,1007,32,167,121
mod revival,#ba701a,489,11080,186,112,26
prog quebec,#8a8646,500,7227,138,134,70
northwest china indie,#8d8c30,574,10957,141,140,48
jewish a capella,#848903,543,7202,132,137,3
afro r&b,#8d950a,935,11987,141,149,10
neue deutsche harte,#ce6a2b,434,17151,206,106,43
musica mocambicana,#ab861b,966,11422,171,134,27
trap colombiano,#a88b07,1063,13620,168,139,7
street punk,#e5492a,290,11411,229,73,42
christian hip hop,#ad8509,963,12962,173,133,9
garage rock,#c7632f,371,11081,199,99,47
rock dominicano,#c66827,403,11728,198,104,39
indie rock colombiano,#a9802f,415,14129,169,128,47
rap abc paulista,#9a8711,1039,9798,154,135,17
symphonic rock,#947e3a,425,8286,148,126,58
indie psychedelic rock,#a37d63,271,9500,163,125,99
rap cearense,#929108,1045,11273,146,145,8
denver rap,#9f8b07,992,12900,159,139,7
j-pop,#bb7b16,522,15127,187,123,22
new jersey indie,#a67c35,405,9562,166,124,53
miami metal,#d45759,228,11914,212,87,89
dominican pop,#b68605,1118,12225,182,134,5
german r&b,#8f940e,997,13716,143,148,14
carnaval limburg,#ac8009,806,12552,172,128,9
chill guitar,#24b3d4,1111,2715,36,179,212
pop minang,#b4920a,522,14926,180,146,10
spanish contemporary classical,#269d8d,340,1502,38,157,141
ecm-style jazz,#3e9a9c,591,3195,62,154,156
kapa haka,#438606,444,2538,67,134,6
comic metal,#cf5c21,434,14301,207,92,33
gospel blues,#528b1c,1003,2046,82,139,28
chinese jazz,#6c9857,781,7051,108,152,87
manso indie,#928d28,566,11179,146,141,40
cork indie,#7c8f1d,495,8347,124,143,29
classical flute,#27a8a5,421,1571,39,168,165
bossa nova,#66953a,843,5259,102,149,58
spanish rockabilly,#ca6d17,627,11533,202,109,23
cowpunk,#c16620,434,10585,193,102,32
contemporary vocal jazz,#4d9d0d,788,4599,77,157,13
bogor indie,#be7834,409,14076,190,120,52
neo-proto,#c06a21,434,11656,192,106,33
classic israeli pop,#828f0b,664,7325,130,143,11
maine indie,#918828,526,8360,145,136,40
cantonese opera,#639b0d,543,5496,99,155,13
chinese idol pop,#ac8a0f,774,15634,172,138,15
muzika l'yeladim,#699306,1061,8040,105,147,6
cerkes muzikleri,#b68a23,726,13248,182,138,35
mexican classic rock,#a97252,630,8512,169,114,82
devon indie,#93890e,545,10535,147,137,14
manguebeat,#a97f15,872,11752,169,127,21
swedish indie rock,#b27b2c,375,11951,178,123,44
jazz funk,#728b5d,885,5869,114,139,93
palestinian pop,#859022,793,9015,133,144,34
